Timestamp,Temp,Hum,CO2,Growth%
2026-01-29 19:05,--,--,524.6,27.21
2026-01-29 19:08,--,--,524.6,27.61
2026-01-29 19:09,--,--,524.6,12.84
2026-01-29 19:10,--,--,524.6,0.0
2026-01-29 19:11,--,--,524.6,19.78
2026-01-29 19:12,--,--,524.6,4.39
2026-01-29 19:13,--,--,524.6,10.16
2026-01-29 19:14,--,--,524.6,1.55
2026-01-29 19:15,--,--,524.6,0.0
2026-01-29 19:16,--,--,524.6,3.87
2026-01-29 19:22,--,--,524.6,15.12
2026-01-29 19:23,--,--,524.6,20.87
2026-01-30 18:22,--,--,524.6,0.05
2026-01-30 18:23,25.0,39.0,459.4,13.36
2026-01-30 18:24,25.0,39.0,459.4,13.01
2026-01-30 18:25,25.0,39.0,459.4,10.01
2026-01-30 18:26,26.1,36.8,453.9,10.0
2026-01-30 19:07,26.1,36.8,453.9,14.65
2026-01-30 19:08,26.1,36.2,462.4,14.49
2026-01-30 19:09,26.1,36.2,462.4,24.9
2026-01-30 19:10,26.1,36.2,462.4,14.85
2026-01-30 19:11,26.4,36.0,462.4,15.02
2026-01-30 19:12,26.4,36.0,462.4,15.09
